filename,status,set,number,fullName,imageField,sourceUrl,contentType
001 - 1 - Anna - Ensnared Sister.jpg,downloaded,1,1,Anna - Ensnared Sister,full,https://api.lorcana.ravensburger.com/images/en/quest1/1_a9b59bdf870a5057e1f9e78193146cb8b2aee390.jpg,image/jpeg;charset=UTF-8
001 - 1 - Ariel - On Human Legs.jpg,downloaded,1,1,Ariel - On Human Legs,full,https://api.lorcana.ravensburger.com/images/en/set1/1_ea50bda8825b4ccdf7e71c7052ee9688f92e75ab.jpg,image/jpeg;charset=UTF-8
001 - 1 - Dragon Fire.jpg,downloaded,1,1,Dragon Fire,full,https://api.lorcana.ravensburger.com/images/en/challenge1/1_d936dc1f2c9f0cae641dbb5584bfb0288a103641.jpg,image/jpeg;charset=UTF-8
001 - 1 - Mickey Mouse - Brave Little Tailor.jpg,downloaded,1,1,Mickey Mouse - Brave Little Tailor,full,https://api.lorcana.ravensburger.com/images/en/promo1/1_62ec0c3084773497fc59cccc9274ad5a4d8af386.jpg,image/jpeg;charset=UTF-8
001 - 1 - Mickey Mouse - Brave Little Tailor.jpg,skipped_existing,1,1,Mickey Mouse - Brave Little Tailor,full,https://api.lorcana.ravensburger.com/images/en/d23/1_1217b22b5c937088bfd49a72c7c226af713e557f.jpg,
001 - 2 - Ariel - Spectacular Singer.jpg,downloaded,1,2,Ariel - Spectacular Singer,full,https://api.lorcana.ravensburger.com/images/en/set1/2_1475cd96869cc0887dd77d27476b341c1a72236f.jpg,image/jpeg;charset=UTF-8
001 - 2 - Bruno Madrigal - Unspeakable Seer.jpg,downloaded,1,2,Bruno Madrigal - Unspeakable Seer,full,https://api.lorcana.ravensburger.com/images/en/quest1/2_012219f15033c7c06817bc372f78d77e364192c9.jpg,image/jpeg;charset=UTF-8
001 - 2 - Let It Go.jpg,downloaded,1,2,Let It Go,full,https://api.lorcana.ravensburger.com/images/en/challenge1/2_e2146eb707e1996e2ae87ecd5ce44a7edcc61a0b.jpg,image/jpeg;charset=UTF-8
001 - 2 - Stitch - Rock Star.jpg,downloaded,1,2,Stitch - Rock Star,full,https://api.lorcana.ravensburger.com/images/en/promo1/2_9354b650ae34807653349b4d6d868a39f01f9609.jpg,image/jpeg;charset=UTF-8
001 - 3 - Captain Hook - Devious Duelist.jpg,downloaded,1,3,Captain Hook - Devious Duelist,full,https://api.lorcana.ravensburger.com/images/en/quest1/3_fc68a1691a89710332386596d3d8f16d62499314.jpg,image/jpeg;charset=UTF-8
001 - 3 - Cinderella - Gentle and Kind.jpg,downloaded,1,3,Cinderella - Gentle and Kind,full,https://api.lorcana.ravensburger.com/images/en/set1/3_4bab817e11efefcca3a3fb72905e0895bb5db74b.jpg,image/jpeg;charset=UTF-8
001 - 3 - Elsa - Snow Queen.jpg,downloaded,1,3,Elsa - Snow Queen,full,https://api.lorcana.ravensburger.com/images/en/promo1/3_cef568880146687aee7fedbb77feabd987e0fdd1.jpg,image/jpeg;charset=UTF-8
001 - 4 - Cruella De Vil - Miserable As Usual.jpg,downloaded,1,4,Cruella De Vil - Miserable As Usual,full,https://api.lorcana.ravensburger.com/images/en/promo1/4_507f9a3d2d8297ecb456094efdac405bae811f26.jpg,image/jpeg;charset=UTF-8
001 - 4 - Flotsam - Wicked Defender.jpg,downloaded,1,4,Flotsam - Wicked Defender,full,https://api.lorcana.ravensburger.com/images/en/quest1/4_3c98099db3db7d561f6d685776f9daf2b932c313.jpg,image/jpeg;charset=UTF-8
001 - 4 - Goofy - Musketeer.jpg,downloaded,1,4,Goofy - Musketeer,full,https://api.lorcana.ravensburger.com/images/en/set1/4_add38edeb287c4de4be302549b684e41b54f1519.jpg,image/jpeg;charset=UTF-8
